ticket_id,customer_id,brand_name,channel_name,opened_at,closed_at,topic,priority,ticket_status,first_response_minutes,csat_score,nps_score
506,783,DebtBusters,Phone,2025-02-07 22:52:05,2025-02-09 08:58:05,Decline Explanation,Critical,Closed,14,3.8,0
507,1094,DebtBusters,WhatsApp,2025-04-24 12:45:11,2025-04-24 12:55:11,Technical Issue,Critical,open,176,1.2,
508,854,FASTA,Facebook,2025-01-05 16:59:49,2025-01-06 11:42:49,Application Help,Low,open,187,,6
509,987,FASTA,Chat,2026-01-03 08:37:35,2026-01-04 15:57:35,Decline Explanation,Low,CLOSED,,,3
510,377,DebtBusters,Phone,2025-02-07 19:36:48,2025-02-09 23:52:48,Statement Request,Medium,Closed,219,4.7,
511,1741,DebtBusters,WhatsApp,2025-11-02 20:00:09,2025-11-03 04:24:09,Technical Issue,low,PENDING_CUSTOMER,107,2.5,
512,131,JustMoney,Facebook,2026-05-12 11:31:56,2026-05-14 21:12:56,Financial Health Query,Low,CLOSED,56,4.5,
513,136,DebtBusters,Chat,2025-02-21 09:05:43,2025-02-22 00:07:43,Fee Dispute,low,RESOLVED,93,3.2,
514,662,FASTA,Email,2025-08-22 12:35:36,2025-08-24 00:54:36,Statement Request,low,RESOLVED,,2.6,
515,1477,DebtBusters,Chat,2026-01-02 13:07:33,,Application Help,High,PENDING_CUSTOMER,155,1.6,6
516,661,FASTA,Email,2026-06-10 11:10:13,,Technical Issue,HIGH,PENDING_CUSTOMER,119,4.4,
517,797,FASTA,Chat,2025-09-29 10:09:40,2025-10-02 03:43:40,Fraud Report,High,RESOLVED,192,4.9,6
518,1092,JustMoney,Phone,2025-02-11 16:35:28,2025-02-13 01:36:28,Statement Request,HIGH,OPEN,,,1
519,830,FASTA,Email,2025-12-18 16:48:12,2025-12-19 16:11:12,Statement Request,HIGH,Closed,,1.6,3
520,420,FASTA,Chat,2026-01-20 16:53:46,2026-01-23 14:29:46,Decline Explanation,HIGH,OPEN,177,3.6,4
521,699,JustMoney,Phone,2025-08-29 13:37:46,,Decline Explanation,HIGH,open,127,1.7,
522,927,JustMoney,Phone,2025-06-18 14:58:20,2025-06-21 06:00:20,Payment Query,Low,PENDING_CUSTOMER,193,3.8,5
523,838,FASTA,Facebook,2025-12-13 13:58:34,2025-12-16 10:08:34,Technical Issue,High,open,110,3.3,
524,763,FASTA,Phone,2025-10-25 13:24:21,,Decline Explanation,Medium,OPEN,,2.9,3
525,221,JustMoney,Chat,2025-01-25 11:22:08,2025-01-25 15:50:08,Statement Request,Low,CLOSED,17,5.0,
526,1236,FASTA,Phone,2025-10-07 09:24:14,,Statement Request,HIGH,OPEN,228,3.8,8
527,1745,DebtBusters,Facebook,2026-03-09 20:31:01,2026-03-10 11:59:01,Payment Query,HIGH,CLOSED,161,,
528,1955,FASTA,Facebook,2026-03-02 18:02:27,2026-03-03 08:41:27,Complaint,High,open,106,2.1,1
529,1558,JustMoney,Email,2025-04-12 20:01:42,2025-04-13 11:52:42,Statement Request,Low,open,81,,
530,832,DebtBusters,Phone,2025-10-31 12:20:54,,Application Help,low,OPEN,217,,10
531,1681,DebtBusters,Chat,2026-01-29 10:32:40,2026-01-29 22:44:40,Fee Dispute,Critical,CLOSED,73,,1
532,1658,FASTA,WhatsApp,2025-03-04 11:27:23,2025-03-05 22:29:23,Statement Request,low,CLOSED,145,4.9,
533,585,FASTA,WhatsApp,2026-05-05 15:33:20,2026-05-07 12:09:20,Decline Explanation,low,RESOLVED,1,1.1,
534,1554,JustMoney,WhatsApp,2025-09-09 22:19:40,2025-09-11 11:22:40,Fee Dispute,Low,PENDING_CUSTOMER,196,1.7,9
535,,FASTA,WhatsApp,2025-09-05 20:34:44,2025-09-06 03:47:44,Fee Dispute,low,PENDING_CUSTOMER,72,3.2,2
536,,JustMoney,Chat,2025-10-14 20:33:41,,Decline Explanation,HIGH,RESOLVED,198,1.1,2
537,1123,FASTA,Facebook,2025-10-28 08:00:58,,Statement Request,Critical,PENDING_CUSTOMER,98,,9
538,294,FASTA,Email,2025-09-29 18:03:30,2025-10-01 16:19:30,Technical Issue,Medium,open,69,4.2,
539,1802,FASTA,Phone,2025-03-30 07:08:29,2025-04-02 01:15:29,Application Help,Medium,RESOLVED,32,,
540,,JustMoney,Email,2025-05-17 20:25:48,2025-05-19 20:26:48,Statement Request,High,PENDING_CUSTOMER,101,,5
541,1770,DebtBusters,Email,2025-05-13 20:19:23,2025-05-16 00:06:23,Financial Health Query,Low,CLOSED,,,7
542,,DebtBusters,Chat,2025-11-17 18:14:05,2025-11-19 02:00:05,Application Help,Medium,open,231,,
543,1285,FASTA,WhatsApp,2025-04-17 21:37:30,,Decline Explanation,Critical,OPEN,11,,8
544,261,FASTA,Email,2025-02-27 21:16:06,2025-03-01 04:38:06,Payment Query,low,PENDING_CUSTOMER,12,3.2,
545,1572,FASTA,Facebook,2026-03-24 07:41:09,2026-03-25 22:35:09,Decline Explanation,High,RESOLVED,71,2.4,
546,1662,FASTA,Email,2025-02-01 21:51:11,,Fraud Report,low,PENDING_CUSTOMER,,4.5,
547,1893,DebtBusters,WhatsApp,2026-05-09 10:23:20,2026-05-11 01:58:20,Statement Request,low,RESOLVED,73,,1
548,1789,DebtBusters,Facebook,2025-04-28 21:04:35,,Decline Explanation,low,RESOLVED,123,2.0,4
549,1683,DebtBusters,WhatsApp,2026-06-11 08:37:44,,Application Help,HIGH,open,97,4.1,9
550,669,DebtBusters,Phone,2025-10-10 17:35:32,2025-10-12 20:29:32,Technical Issue,Medium,PENDING_CUSTOMER,111,2.2,5
551,770,JustMoney,Phone,2025-07-17 20:08:06,2025-07-19 07:43:06,Fraud Report,Critical,open,89,4.0,2
552,689,DebtBusters,Phone,2025-12-24 11:08:31,,Decline Explanation,Medium,PENDING_CUSTOMER,173,,10
553,767,FASTA,Chat,2025-10-22 21:25:58,2025-10-23 03:24:58,Financial Health Query,Critical,PENDING_CUSTOMER,97,1.6,8
554,1849,FASTA,Chat,2025-09-13 10:54:32,2025-09-15 09:11:32,Fraud Report,High,OPEN,,2.8,8
555,327,FASTA,Chat,2025-12-27 13:37:13,2025-12-29 22:39:13,Financial Health Query,low,open,136,2.5,5
556,451,DebtBusters,WhatsApp,2025-01-18 22:54:41,2025-01-21 09:01:41,Statement Request,High,Closed,123,1.9,6
557,817,DebtBusters,Chat,2026-05-11 16:27:30,2026-05-13 17:37:30,Complaint,low,OPEN,100,,6
558,42,JustMoney,Email,2026-03-09 21:41:05,2026-03-09 22:41:05,Complaint,High,OPEN,68,3.8,0
559,1639,DebtBusters,Chat,2025-01-06 07:26:51,2025-01-06 11:54:51,Complaint,High,PENDING_CUSTOMER,34,3.4,
560,703,FASTA,Phone,2025-04-09 13:00:04,,Fraud Report,Critical,RESOLVED,147,,
561,475,JustMoney,Facebook,2025-05-19 11:56:06,2025-05-22 11:08:06,Statement Request,Low,PENDING_CUSTOMER,123,4.6,
562,421,FASTA,Chat,2025-03-02 16:14:23,2025-03-05 08:40:23,Fee Dispute,Low,Closed,62,4.8,
563,213,DebtBusters,Facebook,2026-05-12 22:58:01,2026-05-15 22:21:01,Fraud Report,Medium,OPEN,164,4.9,2
564,139,DebtBusters,Email,2025-05-09 15:12:07,,Technical Issue,HIGH,Closed,227,3.4,9
565,961,FASTA,Phone,2025-01-31 22:00:38,,Fee Dispute,HIGH,RESOLVED,55,,9
566,1502,JustMoney,Phone,2025-11-07 16:29:27,2025-11-09 17:38:27,Payment Query,HIGH,OPEN,126,,0
567,995,FASTA,Chat,2025-05-03 22:45:18,,Decline Explanation,High,OPEN,120,2.9,
568,773,JustMoney,Phone,2026-06-01 14:47:43,2026-06-01 20:41:43,Complaint,High,open,206,1.6,7
569,507,FASTA,Phone,2025-10-14 08:13:48,2025-10-17 05:01:48,Payment Query,Critical,open,65,4.3,
570,885,JustMoney,Phone,2026-06-11 15:41:11,,Fee Dispute,low,RESOLVED,119,4.4,6
571,223,FASTA,Facebook,2025-03-12 22:56:25,2025-03-15 20:45:25,Decline Explanation,Medium,PENDING_CUSTOMER,79,,3
572,950,JustMoney,WhatsApp,2025-04-23 16:51:57,2025-04-26 09:54:57,Financial Health Query,High,Closed,204,2.3,6
573,1572,JustMoney,Chat,2025-12-25 18:11:45,,Application Help,HIGH,open,189,3.3,8
574,1056,JustMoney,Email,2026-05-22 12:43:47,2026-05-22 15:08:47,Decline Explanation,HIGH,open,225,,5
575,1644,JustMoney,Email,2026-02-22 18:21:07,2026-02-24 05:05:07,Fee Dispute,Low,PENDING_CUSTOMER,118,2.9,
576,992,JustMoney,Facebook,2025-10-26 08:37:10,2025-10-27 17:55:10,Statement Request,Low,OPEN,204,4.7,
577,20,FASTA,WhatsApp,2026-03-05 07:41:06,,Application Help,low,CLOSED,199,3.1,
578,1119,JustMoney,Email,2026-06-10 22:02:12,2026-06-12 00:24:12,Fee Dispute,Critical,PENDING_CUSTOMER,14,,
579,1563,JustMoney,Chat,2026-05-18 20:00:12,,Payment Query,High,CLOSED,69,2.7,1
580,418,FASTA,Phone,2026-03-17 18:51:09,2026-03-18 16:31:09,Fraud Report,HIGH,OPEN,191,1.1,7
581,1169,FASTA,Facebook,2026-01-29 10:53:02,,Payment Query,low,Closed,174,1.5,
582,1930,FASTA,Facebook,2025-10-17 19:29:24,,Complaint,Low,Closed,146,1.9,9
583,1572,FASTA,Facebook,2026-03-08 15:21:04,2026-03-10 10:26:04,Application Help,low,OPEN,177,4.0,
584,490,JustMoney,Email,2025-06-02 07:15:24,2025-06-03 00:43:24,Complaint,High,OPEN,90,2.9,6
585,75,JustMoney,Chat,2025-03-29 09:10:58,2025-04-01 06:22:58,Payment Query,low,RESOLVED,32,,0
586,224,FASTA,Chat,2025-07-07 14:52:46,,Payment Query,low,CLOSED,87,,0
587,1909,FASTA,WhatsApp,2025-01-06 12:14:38,2025-01-06 21:03:38,Technical Issue,HIGH,Closed,207,1.2,4
588,478,DebtBusters,Facebook,2025-03-02 10:50:45,,Decline Explanation,Medium,Closed,136,,1
589,1640,FASTA,Facebook,2025-01-06 10:54:23,2025-01-07 11:12:23,Statement Request,Critical,RESOLVED,,3.4,1
590,591,FASTA,Chat,2025-12-15 14:02:43,2025-12-17 08:39:43,Complaint,High,PENDING_CUSTOMER,20,,
591,1839,JustMoney,Facebook,2026-05-29 18:53:07,,Statement Request,HIGH,Closed,191,,2
592,1160,DebtBusters,Chat,2025-04-01 19:28:28,2025-04-03 04:32:28,Decline Explanation,Critical,CLOSED,133,,
593,1882,FASTA,WhatsApp,2025-12-17 16:01:49,,Application Help,Low,CLOSED,193,,10
594,1846,JustMoney,Email,2025-08-16 20:05:43,2025-08-19 06:58:43,Application Help,Critical,RESOLVED,240,4.6,9
595,1818,DebtBusters,Email,2025-07-03 20:22:43,2025-07-06 11:30:43,Application Help,Critical,PENDING_CUSTOMER,72,4.8,
596,1908,DebtBusters,Phone,2025-09-25 11:46:26,,Payment Query,High,PENDING_CUSTOMER,191,2.5,3
597,1330,FASTA,Phone,2026-05-06 13:53:18,2026-05-07 09:42:18,Financial Health Query,Critical,Closed,167,,5
598,,DebtBusters,Facebook,2025-10-29 22:05:06,2025-10-30 01:34:06,Technical Issue,Low,CLOSED,103,1.0,6
599,1514,FASTA,Email,2026-01-04 09:10:21,2026-01-05 01:42:21,Complaint,HIGH,open,3,,
600,1529,FASTA,Email,2025-03-31 10:41:16,2025-03-31 21:22:16,Application Help,Medium,OPEN,208,2.3,
601,311,JustMoney,Facebook,2026-01-11 07:44:08,,Fraud Report,HIGH,open,51,1.5,
602,766,JustMoney,Chat,2025-08-31 09:18:32,2025-08-31 09:35:32,Statement Request,High,open,41,,
603,87,DebtBusters,WhatsApp,2025-04-02 09:29:43,2025-04-04 08:47:43,Application Help,HIGH,RESOLVED,192,,6
604,1640,JustMoney,Phone,2025-04-07 12:30:12,2025-04-09 11:44:12,Application Help,High,OPEN,69,4.4,7
605,163,FASTA,WhatsApp,2025-01-02 08:19:48,2025-01-02 22:58:48,Statement Request,Medium,RESOLVED,,2.4,
606,335,JustMoney,Phone,2026-03-29 11:13:00,,Decline Explanation,High,PENDING_CUSTOMER,,1.1,7
607,1121,DebtBusters,Facebook,2026-01-07 13:39:10,2026-01-10 11:06:10,Technical Issue,Low,RESOLVED,,2.0,8
608,587,JustMoney,Email,2025-10-23 15:03:43,2025-10-24 13:27:43,Statement Request,low,open,232,1.6,6
609,929,JustMoney,Chat,2026-03-30 18:42:37,2026-03-31 17:33:37,Fee Dispute,low,Closed,149,1.1,9
610,1129,DebtBusters,Facebook,2025-10-14 19:26:46,2025-10-16 11:56:46,Payment Query,Low,PENDING_CUSTOMER,129,1.5,
611,689,DebtBusters,WhatsApp,2025-06-02 18:52:41,2025-06-02 20:51:41,Statement Request,Critical,open,215,,
612,581,FASTA,Chat,2026-01-26 08:00:13,,Payment Query,HIGH,open,140,3.4,
613,1345,DebtBusters,Facebook,2025-04-08 10:43:10,2025-04-10 03:44:10,Statement Request,HIGH,OPEN,36,1.2,9
614,647,JustMoney,Chat,2025-05-11 18:17:25,2025-05-12 09:24:25,Fee Dispute,low,OPEN,189,,
615,479,FASTA,Facebook,2025-03-21 12:37:49,,Decline Explanation,Low,RESOLVED,114,4.1,8
616,1624,DebtBusters,Chat,2025-06-18 08:33:17,2025-06-20 00:00:17,Fraud Report,HIGH,PENDING_CUSTOMER,39,4.9,4
617,1663,FASTA,WhatsApp,2025-09-25 11:15:41,,Complaint,Critical,CLOSED,23,4.0,
618,173,DebtBusters,WhatsApp,2025-11-21 19:57:49,,Decline Explanation,Low,PENDING_CUSTOMER,27,3.2,7
619,1505,FASTA,Email,2025-05-05 14:39:32,2025-05-06 16:45:32,Fraud Report,low,CLOSED,131,3.4,
620,655,DebtBusters,Chat,2025-09-28 07:49:24,,Statement Request,High,OPEN,192,3.9,5
621,588,JustMoney,Phone,2025-07-18 18:34:31,2025-07-21 10:51:31,Technical Issue,Medium,CLOSED,199,3.1,9
622,1177,JustMoney,Phone,2026-02-09 13:29:02,,Application Help,Medium,PENDING_CUSTOMER,17,2.0,
623,809,FASTA,Facebook,2025-02-06 07:41:45,2025-02-06 17:23:45,Fee Dispute,Medium,CLOSED,183,,
624,212,JustMoney,Phone,2025-12-24 09:47:48,2025-12-24 21:50:48,Complaint,HIGH,open,234,3.0,6
625,1297,JustMoney,Chat,2025-08-18 13:38:19,2025-08-18 15:13:19,Fee Dispute,HIGH,PENDING_CUSTOMER,153,3.8,
626,707,FASTA,Phone,2025-11-03 22:09:29,2025-11-05 20:56:29,Financial Health Query,Medium,Closed,129,2.2,6
627,543,JustMoney,WhatsApp,2025-07-23 15:38:06,,Technical Issue,Low,open,136,,3
628,1593,FASTA,Email,2025-12-15 20:40:51,2025-12-16 23:11:51,Technical Issue,low,CLOSED,213,,9
629,1044,FASTA,Chat,2025-11-30 07:27:06,,Financial Health Query,Critical,PENDING_CUSTOMER,54,4.0,7
630,453,DebtBusters,Facebook,2026-01-09 22:27:29,,Payment Query,low,OPEN,214,,8
631,491,FASTA,Email,2025-06-29 14:45:36,2025-06-29 18:54:36,Fraud Report,Low,OPEN,10,,
632,412,JustMoney,Email,2025-10-02 13:43:48,2025-10-02 20:45:48,Fee Dispute,low,open,2,3.4,
633,949,FASTA,Email,2026-05-17 08:53:21,2026-05-18 15:11:21,Fee Dispute,HIGH,RESOLVED,178,,6
634,971,JustMoney,Phone,2026-06-16 22:45:13,2026-06-18 09:38:13,Fraud Report,low,CLOSED,,4.1,4
635,266,JustMoney,Phone,2025-10-15 16:57:04,2025-10-16 13:56:04,Payment Query,low,RESOLVED,,,8
636,1630,JustMoney,Chat,2025-01-26 07:32:41,2025-01-27 22:02:41,Financial Health Query,Low,PENDING_CUSTOMER,20,3.8,6
637,434,FASTA,WhatsApp,2025-06-26 15:25:37,,Statement Request,HIGH,open,72,2.8,3
638,1870,JustMoney,Email,2025-11-28 15:32:07,,Application Help,High,Closed,130,3.9,
639,382,DebtBusters,Facebook,2026-01-01 20:34:50,,Technical Issue,HIGH,OPEN,,,
640,414,FASTA,WhatsApp,2025-04-11 10:12:47,2025-04-14 09:24:47,Fee Dispute,Low,RESOLVED,190,,8
641,1048,JustMoney,Phone,2025-04-08 20:33:36,2025-04-09 22:09:36,Fee Dispute,Critical,open,,1.2,
642,119,DebtBusters,WhatsApp,2025-05-03 16:28:08,2025-05-06 11:26:08,Financial Health Query,High,CLOSED,208,2.5,
643,510,JustMoney,Facebook,2025-03-21 19:03:26,2025-03-24 04:47:26,Fee Dispute,Low,open,146,1.5,5
644,1106,JustMoney,WhatsApp,2026-03-13 18:13:42,2026-03-14 01:12:42,Statement Request,HIGH,Closed,227,3.1,6
645,179,DebtBusters,Email,2026-01-25 09:53:13,2026-01-27 13:17:13,Financial Health Query,Medium,PENDING_CUSTOMER,93,3.4,
646,380,FASTA,Phone,2026-01-17 07:41:20,,Complaint,Low,Closed,202,2.8,9
647,869,FASTA,WhatsApp,2025-08-24 20:02:53,2025-08-27 19:09:53,Fraud Report,HIGH,open,10,2.8,
648,272,FASTA,Phone,2025-04-21 07:47:15,,Fraud Report,High,OPEN,,4.0,
649,88,DebtBusters,WhatsApp,2025-07-24 13:08:04,,Complaint,Medium,CLOSED,121,,1
650,1600,FASTA,Email,2025-12-10 20:56:16,2025-12-11 09:01:16,Payment Query,Critical,open,202,1.1,7
651,1464,FASTA,Facebook,2025-10-05 12:16:52,2025-10-06 22:49:52,Statement Request,High,OPEN,199,4.3,
652,709,DebtBusters,Chat,2025-11-09 17:19:30,2025-11-10 12:07:30,Technical Issue,Medium,open,64,1.6,9
653,307,JustMoney,Facebook,2025-03-01 18:59:17,2025-03-01 21:33:17,Fee Dispute,High,RESOLVED,23,5.0,7
654,,DebtBusters,Phone,2026-01-03 21:08:10,2026-01-06 20:19:10,Statement Request,HIGH,OPEN,58,,7
655,207,DebtBusters,Email,2025-04-18 20:05:43,2025-04-20 19:43:43,Decline Explanation,Medium,CLOSED,198,4.8,
656,1956,JustMoney,Email,2025-01-07 20:19:27,2025-01-08 08:52:27,Complaint,High,Closed,,2.9,6
657,1456,DebtBusters,Chat,2025-02-14 19:09:28,2025-02-17 00:36:28,Financial Health Query,Low,open,108,3.5,8
658,1443,DebtBusters,Facebook,2025-09-23 13:58:58,2025-09-24 03:38:58,Statement Request,HIGH,OPEN,116,4.6,1
659,1628,FASTA,Facebook,2025-01-08 14:12:47,2025-01-09 18:07:47,Payment Query,HIGH,open,239,3.6,5
660,169,FASTA,Facebook,2025-11-25 17:18:12,2025-11-27 10:55:12,Fraud Report,HIGH,RESOLVED,18,4.6,
661,317,FASTA,Phone,2026-01-29 16:48:18,2026-01-31 15:15:18,Financial Health Query,HIGH,RESOLVED,179,1.6,9
662,865,JustMoney,Email,2025-04-24 16:12:59,2025-04-27 01:09:59,Financial Health Query,HIGH,Closed,,,
663,1272,DebtBusters,Chat,2025-04-20 17:01:06,2025-04-23 04:22:06,Complaint,Medium,OPEN,65,,
664,1728,FASTA,Facebook,2026-05-31 13:38:45,,Application Help,HIGH,open,170,,8
665,779,JustMoney,Chat,2026-01-23 13:58:36,,Payment Query,Medium,CLOSED,14,1.1,
666,923,FASTA,WhatsApp,2026-04-01 17:08:17,,Application Help,HIGH,RESOLVED,184,2.4,
667,443,DebtBusters,Facebook,2026-05-18 17:39:36,2026-05-20 03:03:36,Decline Explanation,Low,PENDING_CUSTOMER,149,1.9,
668,1755,JustMoney,WhatsApp,2025-01-06 08:37:33,2025-01-06 10:02:33,Application Help,High,open,210,1.4,9
669,1671,JustMoney,Email,2025-03-24 07:34:14,2025-03-25 23:43:14,Application Help,Medium,PENDING_CUSTOMER,88,5.0,5
670,237,FASTA,WhatsApp,2025-06-13 08:20:52,2025-06-13 19:21:52,Statement Request,Medium,CLOSED,95,4.9,0
671,934,JustMoney,Phone,2025-06-12 09:04:11,,Complaint,HIGH,open,57,,7
672,1332,FASTA,Facebook,2026-05-21 21:27:49,2026-05-24 16:47:49,Complaint,HIGH,open,111,,3
673,1619,JustMoney,Chat,2025-02-27 18:15:44,2025-02-28 19:52:44,Fee Dispute,low,open,67,,
674,368,DebtBusters,Chat,2025-04-30 22:00:54,,Fraud Report,Critical,PENDING_CUSTOMER,34,3.8,3
675,1077,FASTA,WhatsApp,2025-04-27 15:02:35,2025-04-29 10:32:35,Payment Query,High,Closed,178,2.9,0
676,1964,DebtBusters,Email,2026-01-18 18:48:51,2026-01-21 08:21:51,Decline Explanation,Critical,CLOSED,46,1.9,6
677,1891,DebtBusters,Email,2025-02-02 22:08:00,,Application Help,Low,RESOLVED,49,3.2,5
678,108,FASTA,Email,2026-02-03 15:45:17,,Complaint,Critical,RESOLVED,,3.2,8
679,1447,FASTA,Chat,2025-02-12 11:00:35,2025-02-14 20:50:35,Decline Explanation,Low,OPEN,175,2.2,5
680,994,DebtBusters,WhatsApp,2025-03-19 09:35:20,2025-03-20 07:16:20,Fee Dispute,Medium,PENDING_CUSTOMER,156,,
681,1108,FASTA,WhatsApp,2025-03-30 10:19:26,2025-03-30 20:25:26,Decline Explanation,low,RESOLVED,114,1.6,5
682,352,JustMoney,Chat,2026-01-09 13:16:05,2026-01-12 06:30:05,Financial Health Query,Critical,CLOSED,182,4.3,
683,,DebtBusters,Facebook,2025-12-13 12:46:51,2025-12-16 01:56:51,Payment Query,Low,Closed,213,2.7,
684,1097,DebtBusters,WhatsApp,2025-10-02 12:27:34,2025-10-04 23:50:34,Complaint,Critical,OPEN,167,4.2,
685,648,DebtBusters,Facebook,2025-10-29 16:06:37,,Technical Issue,low,Closed,104,4.1,9
686,96,FASTA,Facebook,2025-12-13 16:23:31,2025-12-14 14:36:31,Fee Dispute,Low,CLOSED,175,3.5,7
687,1324,FASTA,Email,2025-06-13 09:53:00,,Fraud Report,HIGH,open,177,4.8,
688,110,JustMoney,Chat,2026-02-01 22:02:54,2026-02-02 09:55:54,Decline Explanation,High,CLOSED,19,2.4,10
689,642,DebtBusters,Facebook,2026-01-09 08:56:36,,Financial Health Query,low,Closed,,,
690,850,JustMoney,Chat,2025-03-02 08:07:51,2025-03-04 00:59:51,Statement Request,Medium,Closed,149,,
691,551,FASTA,Chat,2026-05-18 19:42:30,,Decline Explanation,HIGH,OPEN,145,4.0,
692,,DebtBusters,Facebook,2026-02-27 12:00:30,2026-02-28 23:33:30,Complaint,Critical,RESOLVED,74,2.4,
693,1301,FASTA,Phone,2025-06-26 10:28:25,,Fraud Report,High,RESOLVED,,3.4,
694,1463,DebtBusters,Facebook,2025-08-11 15:54:22,,Fee Dispute,Critical,open,118,3.8,10
695,53,DebtBusters,WhatsApp,2026-02-08 10:02:34,2026-02-09 22:09:34,Fee Dispute,HIGH,open,136,2.5,7
696,1,DebtBusters,Email,2025-05-24 16:31:19,2025-05-25 04:14:19,Statement Request,High,open,127,3.4,4
697,1043,FASTA,Facebook,2025-02-26 07:32:47,2025-02-28 04:21:47,Statement Request,HIGH,PENDING_CUSTOMER,213,1.2,10
698,620,DebtBusters,Email,2025-11-09 15:37:10,2025-11-11 16:19:10,Fee Dispute,Medium,Closed,238,2.7,8
699,719,FASTA,Facebook,2026-05-10 15:10:52,2026-05-13 14:39:52,Fraud Report,Medium,PENDING_CUSTOMER,176,,7
700,1239,DebtBusters,Phone,2026-01-24 10:49:06,2026-01-26 08:54:06,Fraud Report,HIGH,Closed,223,,5
701,1213,JustMoney,Phone,2026-06-08 07:06:57,2026-06-10 02:01:57,Fraud Report,High,CLOSED,98,2.3,
702,123,JustMoney,WhatsApp,2026-04-18 21:25:02,,Application Help,HIGH,CLOSED,234,,0
703,1085,FASTA,Email,2025-09-16 12:21:05,2025-09-17 13:26:05,Statement Request,Medium,CLOSED,77,4.8,6
704,1213,FASTA,WhatsApp,2025-09-07 17:43:37,2025-09-09 15:00:37,Payment Query,HIGH,RESOLVED,156,,
705,1629,FASTA,WhatsApp,2025-11-30 12:56:18,,Fraud Report,Critical,OPEN,68,2.7,
706,1744,JustMoney,Facebook,2026-05-04 19:57:03,2026-05-07 12:53:03,Fraud Report,HIGH,OPEN,44,4.2,9
707,1659,DebtBusters,Facebook,2025-07-23 20:27:45,,Fraud Report,Medium,CLOSED,50,4.4,0
708,1389,FASTA,Phone,2025-12-19 15:46:06,,Decline Explanation,HIGH,open,180,,
709,1111,JustMoney,Chat,2025-08-28 12:07:39,2025-08-28 22:59:39,Fraud Report,High,Closed,137,4.2,7
710,1958,DebtBusters,WhatsApp,2025-04-26 17:22:36,2025-04-28 20:49:36,Fee Dispute,Critical,CLOSED,,,
711,,FASTA,Chat,2025-05-03 10:34:38,2025-05-06 09:56:38,Application Help,Critical,CLOSED,64,2.8,
712,808,DebtBusters,Chat,2026-01-24 11:41:01,,Financial Health Query,High,open,178,,5
713,365,FASTA,Facebook,2026-02-13 20:06:12,2026-02-15 17:10:12,Application Help,Critical,OPEN,169,1.2,
714,84,JustMoney,Chat,2025-12-11 12:55:14,2025-12-13 09:27:14,Statement Request,HIGH,Closed,40,2.2,
715,209,DebtBusters,Email,2025-11-28 17:21:26,2025-11-29 14:47:26,Statement Request,Critical,CLOSED,176,1.7,
716,,JustMoney,Email,2025-12-07 16:13:43,,Statement Request,Critical,Closed,219,1.9,
717,799,DebtBusters,WhatsApp,2025-02-10 11:51:31,2025-02-11 11:38:31,Fraud Report,HIGH,open,200,,10
718,1998,FASTA,Chat,2025-06-13 22:41:49,2025-06-15 16:30:49,Payment Query,low,CLOSED,,,
719,1827,DebtBusters,Phone,2026-03-07 16:51:30,2026-03-09 12:32:30,Fraud Report,Medium,RESOLVED,,,8
720,1787,DebtBusters,Email,2025-07-14 19:31:28,2025-07-17 15:31:28,Statement Request,low,CLOSED,37,4.1,
721,972,JustMoney,Chat,2025-06-12 09:51:26,2025-06-13 21:38:26,Financial Health Query,High,OPEN,,,4
722,291,DebtBusters,Phone,2026-01-14 12:44:49,2026-01-15 15:06:49,Statement Request,HIGH,PENDING_CUSTOMER,113,3.1,6
723,415,DebtBusters,Phone,2025-07-16 11:30:13,2025-07-19 04:27:13,Technical Issue,low,CLOSED,,1.2,8
724,1188,DebtBusters,Facebook,2025-06-01 21:28:54,,Fraud Report,Critical,OPEN,92,1.3,
725,1199,JustMoney,Chat,2026-03-18 16:32:25,2026-03-21 09:23:25,Decline Explanation,Low,Closed,224,,
726,71,DebtBusters,Email,2025-07-11 07:12:28,2025-07-11 15:05:28,Application Help,Low,CLOSED,1,,
727,95,JustMoney,WhatsApp,2025-01-08 16:58:00,2025-01-11 10:01:00,Decline Explanation,Medium,RESOLVED,3,3.2,
728,565,DebtBusters,Chat,2026-01-18 16:53:42,2026-01-20 08:16:42,Decline Explanation,Low,OPEN,74,1.8,0
729,179,DebtBusters,Email,2026-01-04 21:48:31,2026-01-05 02:50:31,Financial Health Query,Low,OPEN,57,1.7,10
730,1852,JustMoney,WhatsApp,2025-03-10 21:10:53,2025-03-13 12:52:53,Payment Query,Low,OPEN,203,1.0,
731,655,DebtBusters,Email,2025-01-08 08:10:17,2025-01-10 12:01:17,Financial Health Query,Critical,RESOLVED,143,4.7,6
732,1175,JustMoney,Chat,2026-02-25 22:41:41,2026-02-28 20:21:41,Complaint,HIGH,open,188,,
733,1306,DebtBusters,Phone,2025-06-03 09:23:12,2025-06-05 00:54:12,Application Help,low,Closed,90,3.6,2
734,1985,DebtBusters,Facebook,2026-03-26 22:09:53,2026-03-28 12:13:53,Technical Issue,High,CLOSED,185,3.7,7
735,814,FASTA,WhatsApp,2025-09-18 10:40:33,2025-09-20 10:31:33,Complaint,Low,CLOSED,121,4.7,7
736,926,DebtBusters,Chat,2025-01-15 08:57:03,2025-01-17 08:36:03,Financial Health Query,Medium,CLOSED,43,2.6,
